,East_North_Central,East_South_Central,Mid_Atlantic,Mountain,New_England,Pacific,South_Atlantic,West_North_Central,West_South_Central
p1,9.149341247646314e-07,7.753203874033979e-09,9.701825168668006e-10,0.10835620395167643,8.295406972863838e-11,0.8908979505015419,6.770479295809475e-10,0.0007423372820925183,2.5838471760766092e-06
p10,2.9349361033218693e-07,2.0274072310424639e-07,8.394161326439029e-10,0.26921649926875707,2.3030634193523458e-11,0.7299783741599474,1.4283820664126082e-08,0.00013909394126432776,0.0006655212494305559
p100,0.1137531462094332,0.055737091063386555,0.2590772820282341,1.431464374032426e-06,0.02619635303161096,8.05227179959149e-10,0.5434327427135615,0.0011505609758616071,0.00065139170831083
p101,0.0004960518563806901,0.07406353528368907,0.00015860405269497963,1.337107224896513e-06,1.889652060865421e-05,2.414449572972425e-09,0.9124974713859272,0.0006444379934061855,0.01211966338561877
p102,0.00010404139024325128,0.012924729184261711,4.2397251230088654e-05,2.5534866980744883e-07,7.240311700570648e-06,5.449476900900146e-10,0.9835513460465166,0.0001111963472736403,0.0032587935751564835
p103,0.8434547091383079,0.020419821850832257,0.06443048214956469,0.00013806336742776943,0.0030514974727310754,1.1626217516922237e-07,0.03140031470592761,0.03586175132009585,0.0012432437329376977
p104,0.75509093119778,0.07006391052196294,0.046169213117733636,0.00017995484780283918,0.0012423385091583153,1.2920480389045148e-07,0.03824065642057743,0.08368833354527433,0.005324532634906575
p105,0.6777194547593838,0.15414532073597395,0.0326274061969127,0.0001606805034514869,0.0009014584315890905,9.385352293101951e-08,0.04895598845840825,0.07253292943563408,0.012956667625123668
p106,0.597015033200393,0.2327414031334738,0.0300213808524525,0.00011914543345057529,0.0007824475831446306,5.9238501829103094e-08,0.063503490155401,0.05792199194548064,0.017895048457702095
p107,0.5077880697588093,0.3086612766244603,0.020342996478168392,9.981460148382922e-05,0.0004785140485880531,5.560772898294249e-08,0.06387619956396537,0.0691317297837613,0.029621343533034368
p108,0.3314381513489127,0.41259033919239846,0.007107169335691593,0.00011170587941064388,0.000165037656990862,7.80130041440604e-08,0.049890051076138135,0.13233911474379148,0.06635835275366204
p109,0.2380777711325653,0.4984026178279617,0.03500198131050678,3.2137421788992595e-05,0.000848738866549641,2.10551136767058e-08,0.1724743853058815,0.035646774105466614,0.019515572974165854
p11,1.917099679688818e-07,2.2653487654016962e-07,5.802528779952107e-10,0.23164309133440833,1.49633863353262e-11,0.7670628122311008,1.8629960472548494e-08,9.336028975029734e-05,0.0012002986747192037
p110,0.21320330919222402,0.41597997698295014,0.04964864550852083,1.0581990794831627e-05,0.0014320574977759785,7.050898853171783e-09,0.29981462724547553,0.012476817064025082,0.007433977467334817
