,East_North_Central,East_South_Central,Mid_Atlantic,Mountain,New_England,Pacific,South_Atlantic,West_North_Central,West_South_Central
p31039,0.04368061947612712,0.0033248936197746728,0.0001901947337590484,0.050912088792619735,5.299817029951539e-06,2.8949093009804214e-05,0.0002786487352583702,0.8830413538823598,0.018537951850061293
p31109,0.052126856908369226,0.005617231907748305,0.00016966891616263357,0.04968397811383758,4.714919385122864e-06,1.9550045044094012e-05,0.0004151474537886463,0.8485144829262707,0.043448368809393415
p31129,0.024623407307372155,0.0035367662974333607,7.298242518228634e-05,0.09528342058442718,2.0392330495083077e-06,3.501161122872595e-05,0.00026852901100956787,0.8093740826686907,0.0668037608616065
p31101,0.00269906781122835,0.00030176972930913215,8.824483901662048e-06,0.42479616855019076,2.447271740593534e-07,0.00017818452331216139,2.2957598416785977e-05,0.551682925562241,0.02030985701422609
p31137,0.011086474039882261,0.001519672828166714,3.4962613477846636e-05,0.1855531507991309,9.704791462321584e-07,6.844710089475855e-05,0.00011572977556168536,0.7537539307226747,0.04786666164106501
p31181,0.018955387520507665,0.0027764634978042053,5.6416744980659955e-05,0.11895823232492403,1.576018338128014e-06,4.315009045259368e-05,0.00021186691651304445,0.7934812522452982,0.06551565464118153
p31043,0.06139197159521551,0.0028181537223160983,0.00021762867319887087,0.04479791813589547,6.4598919438553354e-06,2.9584207737237358e-05,0.000277151618765969,0.8777854871261692,0.01267564502875784
p31015,0.0291225252366241,0.0008600711109479631,6.665046229265734e-05,0.13928514698924976,2.1879416465256584e-06,9.207361547587853e-05,7.822778208599783e-05,0.8225354333411148,0.007957683520562427
p31171,0.007841197339541917,0.0005309396595574715,2.2257279801969e-05,0.24999010771072822,6.567809641984008e-07,0.00014478778579162923,3.9470012280762134e-05,0.7261338987078948,0.015296684723439079
p31089,0.024751784131649992,0.0010746690589127042,6.657359783794926e-05,0.12239759794427948,2.0532421825664452e-06,8.416246925530083e-05,8.741861789365739e-05,0.8400000978316269,0.011535643106361359
p31017,0.013895675041637048,0.0006269735250964571,3.475622688748989e-05,0.18236211936843538,1.0842336857660336e-06,0.00013652237700974325,4.6740239489510535e-05,0.7917801930814402,0.011115935906318397
p31103,0.017592750314831457,0.0005523157138836349,3.8573794793824015e-05,0.20123582714432026,1.2756349895311078e-06,0.0001359502991723601,4.6433860764324124e-05,0.7727878842937143,0.0076089889435304115
p31007,0.0011984121278457056,9.733051382638958e-05,3.09443381784901e-06,0.4478388806502769,9.19415913926102e-08,0.0005209445574772007,7.445230307568981e-06,0.5355937063821089,0.01474009416274808
p31077,0.017899338754510004,0.0017567572294124977,7.093493889871237e-05,0.1233550238161011,1.945503680759796e-06,5.616039498385002e-05,0.00012981532398079134,0.8336949822042,0.02303504183423219
p31095,0.04068795530258983,0.005581449864333394,0.00011969810433514647,0.0599355330268775,3.3434451332005797e-06,2.2534441928043047e-05,0.0004199103449904362,0.8250611032832905,0.06816847218652204
p31151,0.0412625610219798,0.005002161066404103,0.00012776918740879737,0.06174889001149252,3.564016366290769e-06,2.3449518375489298e-05,0.0003728779374201082,0.8387671459053817,0.052691581335171184
p31057,0.0022796538461197554,0.0003775675192268614,7.024455530528292e-06,0.4308081610095902,1.9508558107575788e-07,0.00014507253092613178,2.8963378778483266e-05,0.5232831606585447,0.04307020151570227
p31157,0.0013405060234303952,8.993309342628244e-05,3.2145755223702928e-06,0.44902299308814053,9.865822185700999e-08,0.0005364316508891923,6.8262796440255825e-06,0.5373478977495669,0.011652098881158564
p31001,0.019238660132894558,0.0025198125800932445,6.025751335665268e-05,0.12207705987869423,1.6764450960552111e-06,4.5623944601370444e-05,0.00019017376799830536,0.8052999692622729,0.05056676647499285
p31131,0.06971203030231034,0.007518697338560696,0.000219708821788523,0.0363873538767472,6.127551197904157e-06,1.418073991675781e-05,0.0005550151947498114,0.8378648314207517,0.047722054753977027
p31099,0.014753991965605368,0.001984730411597011,4.6267795992277275e-05,0.15037337347685478,1.2862425254791378e-06,5.5755568434322416e-05,0.00015048276626473164,0.7827650308594479,0.04986908091327812
p31087,0.0036750538680861396,0.0005962984565654195,1.1233403310627807e-05,0.34848669550337047,3.126147670946607e-07,0.00011866686445005592,4.574186334969158e-05,0.5977093433900043,0.04935665403609608
p31105,0.0010318142480912201,0.00010510389378971218,2.9085913406666246e-06,0.45199367160911197,8.340714800209551e-08,0.0004945608489141312,8.074362608824939e-06,0.5273128302305751,0.019050952808420413
p31127,0.0806822967962531,0.009355211465468456,0.00024185284185360376,0.03026217637169884,6.75733172506613e-06,1.1472903395651236e-05,0.0006917057909138089,0.8213030668380525,0.05744545966063882
p31041,0.009143485904694038,0.0009760131568364661,3.367375028240518e-05,0.21251483952404535,9.235454378360613e-07,9.11846790930806e-05,7.28899321959932e-05,0.7532762291512247,0.023890760356190113
p31025,0.0683411224729142,0.006755413301650229,0.00022912070086288883,0.03737938708448209,6.356312796156936e-06,1.4982046907871447e-05,0.0004979836961221907,0.8474755904346902,0.039300043949574266
p31143,0.031554343634985126,0.0032191611241497945,0.00011402244474944672,0.07985516502908566,3.1162725722093266e-06,3.289554683431371e-05,0.00023784073002181626,0.8531822694186216,0.03180118579898004
p31045,0.0023535762101102604,9.195914637722222e-05,4.7307349894522996e-06,0.440778534638671,1.613491467838941e-07,0.00047616088209584894,6.843999097507841e-06,0.5501562309658726,0.0061318020736393225
p31179,0.04541268672332407,0.002507184754914992,0.00016270747505565565,0.056254757579636216,4.742373281059766e-06,3.689841101767567e-05,0.00022093827162476793,0.8807220714965494,0.014678012914596179
p31071,0.017383074824585933,0.001219019055357884,5.6609305820398004e-05,0.14143388606122775,1.6317733051361856e-06,7.747612861837809e-05,8.996258622934642e-05,0.8224386920534189,0.01729964821143629
p31055,0.06504803765171016,0.005694391598156349,0.00024296527785662162,0.03818962129192925,6.6440828628516445e-06,1.7167412034707294e-05,0.00042262478898158674,0.8609078326127149,0.029470715283753616
p31139,0.03859747054961043,0.00199798795666405,0.00012645498502502126,0.06966086907793421,3.7393566799363973e-06,4.700871146031477e-05,0.00017077936253100034,0.8754259303081428,0.013969759691952502
p31141,0.03101956681655656,0.0028246912078496653,0.00012373594584451895,0.07656618789381266,3.3480423633244077e-06,3.624873267607404e-05,0.0002082221130120613,0.865384248717746,0.023833750530139263
p31013,0.002321577052401476,0.00012390027833781805,5.239927183511779e-06,0.37248918041471984,1.6614182929291863e-07,0.0004645523464455837,9.306630947172833e-06,0.6144297329655614,0.0101563442425739
p31173,0.05466041544302628,0.00323447302758971,0.00021904769303788968,0.04296567561928036,6.286258111429047e-06,2.762741999467376e-05,0.0002980719698020851,0.8832659985082436,0.015322404060914214
p31011,0.02348352967208534,0.0020756876265411645,9.32911172068694e-05,0.09796058674675807,2.5829592109032087e-06,4.8538276640003875e-05,0.00015304172587155817,0.8550232284241098,0.021159513451576236
p31119,0.03198374479434623,0.002347993770925019,0.00012318322705516448,0.07566930187354831,3.4767187134611337e-06,4.223385220338025e-05,0.0001827361595741506,0.8713620335717333,0.01828529603190111
p31117,0.004858805622812088,0.00042302717429229894,1.4841503895731748e-05,0.32637712625089127,4.241398319110152e-07,0.00016023760217439876,3.178543217872266e-05,0.650178727773448,0.01795502450047559
p31145,0.00545673171166564,0.0008675786847811283,1.6570225502121966e-05,0.28287599842299965,4.617396183778211e-07,9.723483149405063e-05,6.658410962685241e-05,0.656314672902121,0.05430416737219132
p31149,0.01766385164807284,0.0007974429686245706,4.575668154869905e-05,0.15498449228067546,1.416892140407164e-06,0.00011136112101500067,6.125084988994179e-05,0.8148319575040188,0.011502470054014438
